"Index","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","f84","f85","f86","f87","f88","f89","f90","f91","f92","f93","f94","f95","f96","f97","f98","f99","f100","f101","f102","f103","f104","f105","f106","f107","f108","f109","f110","f111","f112","f113","f114","f115","f116","f117","f118","f119","f120","f121","f122","f123","f124","f125","f126","f127","f128","f129","f130","f131","f132","f133","f134","f135","f136","f137","f138","f139","f140","f141","f142","f143","f144","f145","f146","f147","f148","f149","f150","f151","f152","f153","f154","f155","f156","f157","f158","f159","f160","f161","f162","f163","f164","f165","f166","f167","f168","f169","f170","f171","f172","f173","f174","f175","f176","f177","f178","f179","f180","f181","f182","f183","f184","f185","f186","f187","f188","f189","f190","f191","f192","f193","f194","f195","f196","f197","f198","f199","f200","f201","f202","f203","f204","f205","f206","f207","f208","f209","f210","f211","f212","f213","f214","f215","f216","f217","f218","f219","f220","f221","f222","f223","f224","f225","f226","f227","f228","f229","f230","f231","f232","f233","f234","f235","f236","f237","f238","f239","f240","f241","f242","f243","f244","f245","f246","f247","f248","f249","f250","f251","f252","f253","f254","f255","f256","f257","f258","f259","f260","f261","f262","f263","f264","f265","f266","f267"
2015-01-01,5416.626,4245.54,4777.439,9805.55,1766.83,3366.11,513.04,23501.1,164.63,5226.947,1915.59,200.218,181.697,154.908,159.972,171.627,333.073,830.92,561.17,323.56,165.4,283.96,234.71,65.57,501.96,142.78,657.4,662,1778.04,954.58,336.8,190.98,325.58,270.72,436.7,177.79,65.4,183.74,213.5,109.35,81.03,172.98,158.02,134.84,110.38,220.53,221.5,145.35,419.52,2272.21,582.54,898.94,1017.1,1721.01,1911.84,2500.1,90.89,238.97,103.45,200.62,233.87,224.16,196.43,472.172,124.37,98.94,17450.77,3165.814,3457.55,146.24,2080.35,6547,0.677,0.23,29.5,0.01,4.8,4.69,0.2552,2.1871,0.0051,0.129,11.38,15.92,-0.371,0.09,0.677,15.2,-1.3,17.3,175.203,0.46,0.827,1.2125,0.91,2.595,-0.2584,0.0094,1.1631,1.6378,0.538,2.3125,0.407,-0.5493,3.68,3.4,3.44,3.61,3.41,5.6,-0.077,0.078,0.171,0.327,27.502,29.1031,-0.025,0.13,0.54,-0.064,0.822,-0.019,0.329,0.01,0.03,0.233,0.0925,20.1,17.075,0.1695,0.21625,0.3574,0.6288,0.1929,-0.0051,1.679,0.1065,0.56,9.47,19.86,18.02,18.02,51468440,30.5,50,189.254,NA,17.456,42.25,97.452,0.05786,0.14,0.29571,29.1031,-0.023,-0.105,0.012,-0.049,-0.022,0,-0.01,NA,NA,67.321,61.326,334.902,17.075,29.5,4.75,5.5,24.77,0.6841,26.1876,17.947,21.4,26.36,0.192,0.4138,0.23733333,0.3123,16.87,-0.77488037,NA,-0.15983531,0.20708596,-0.6701905,0.25465856,0.19433333,1.41523333,-0.00237405,-0.30552012,-0.23733333,-0.3123,-0.05183334,-0.80911667,0.55189991,-0.10389772,0.28336547,0.28848244,-0.08090894,0.02005979,0.55841835,0.5964549,0.06505866,-0.02179379,0.1872433,-0.15851968,0.79323765,621.79567873,0.149,0.11233333,1.51673333,-0.04533333,0.1015,0.03666667,-1.36773333,1.4044,-0.19433333,-1.41523333,121.94,5.0635,2.2944,NA,20,7.5386,9.6275,0.79935,0.0978,0.051785,0.0057,1.7721,0.1059,4.6848,0.1885,0.19556,0.136,6.2003,1096.34,3.498,32.885,31.71,2.8987,1.16129308,-3.56333333,NA,-0.69,-18.02,-3.34572293,NA,2.14763318,-1.13380581,-0.05798047,NA,3.61141767,8.26055619,3.56333333,-0.28,7.52250957,18.06618734,-0.29908826,0.56227208,2.7359,-2.36978019,-0.62245747,-0.25774765,0.4138,342.378
2015-01-02,5411.018,4272.75,4736.054,NA,1761.25,3365.15,512.41,23605.04,164.03,NA,NA,199.377,180.488,155.169,159.325,171.432,331.112,823.33,563.73,325.4,166.49,285.32,235.45,66.15,508.26,147.22,662.92,666.99,1774.89,956.31,338.47,192.18,325.16,270.86,435.89,177.91,65.63,184.62,214.34,109.77,NA,NA,NA,134.77,109.04,218.24,219.23,142.7,417.12,2260.09,581.18,894.99,1009.02,1709.67,1900.23,2482.3,90.44,237.81,102.76,199.32,233.4,223.05,194.45,470.671,123.06,98.27,NA,3234.677,3533.71,145.8,2058.9,6566.09,0.549,0.23,29.4,0.041,4.83,4.68,0.2556,2.1712,0.0355,0.123,11.25,19.2,-0.347,0.142,0.549,16.1,-0.2,16.2,175.654,0.624,0.812,1.1975,0.911,2.577,-0.2064,0.0701,1.2068,1.6801,0.4689,2.282,0.37,-0.4911,3.68,3.38,3.46,3.59,3.42,5.6,0.144,0.078,0.171,0.325,27.0155,28.533,-0.025,0.06,0.541,-0.053,0.826,-0.019,0.329,NA,0.03,0.241,NA,20.475,17.075,0.17125,0.21445,0.3628,0.6288,0.2132,0.0101,1.6528,0.1167,0.52,9.51,22.68,17.54,19.74,51389236,29.125,50.46,197.036,86.987,17.179,43,101.393,0.05857,0.14571,0.29357,28.533,-0.018,-0.098,0.015,-0.049,-0.022,NA,NA,NA,NA,NA,62.441,341.881,17.075,27.75,5.07,NA,25.69,0.6645,NA,17.964,26.73,NA,0.19133333,0.41573333,0.23133333,0.29393333,13.508,-0.73529366,-3.987,-0.13661017,0.2789248,NA,NA,0.19266667,1.37436667,0.00418456,-0.32792915,-0.23133333,-0.29393333,-0.05633334,-0.80898334,0.59863234,NA,0.28119576,0.20204411,NA,-0.57150714,0.19401847,0.50147269,0.14012792,-0.0133257,0.17407545,NA,0.66101744,622.80156148,0.15266667,0.11233333,1.49616667,-0.04,0.1218,0.04033334,-1.3435,1.38383334,-0.19266667,-1.37436667,121.94,5.0548,2.3352,86.987,20,7.5426,9.6721,0.8004,0.09833,0.0519,0.0057,1.7751,0.1057,4.6959,0.1887,0.19616,0.135,6.2066,1087.6,3.4965,32.88,31.642,2.9021,1.16218596,-3.55,-86.987,-0.67,-17.54,-3.33678087,-0.07765823,2.16318316,-1.14393547,-0.05353745,84.1814136,3.60165226,8.2383606,3.55,-0.3,7.54809858,17.98252355,-0.2699489,0.57768864,2.7355,-2.10410095,-0.71388646,-0.26446577,0.41573333,345.614
2015-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.377,180.488,155.169,159.325,171.432,331.112,823.33,563.71,325.33,166.54,285.61,235.36,66.15,NA,NA,NA,NA,1774.91,956.28,338.4,192.24,325.33,270.75,435.89,177.91,65.63,184.62,214.34,109.77,NA,NA,NA,134.77,NA,NA,NA,NA,417.12,2260.28,581.33,894.98,1009.27,1709.68,1900.24,2482.3,90.44,237.81,102.76,199.32,233.4,223.06,194.45,470.671,123.06,98.27,NA,NA,NA,NA,NA,NA,0.538,NA,29.4,0.041,NA,NA,NA,2.1712,0.0355,0.119,11.5,NA,-0.319,0.14,0.538,NA,NA,NA,175.469,NA,0.812,1.1975,0.91,2.577,-0.2064,0.0701,1.2068,1.6929,0.4689,2.2825,0.366,-0.4783,3.69,3.38,3.46,3.6,3.41,NA,NA,NA,NA,NA,27.3552,28.5346,-0.025,NA,0.541,-0.039,0.826,-0.019,0.329,NA,0.03,NA,NA,20.475,17.075,NA,NA,NA,NA,0.2132,0.0101,1.6528,0.1167,0.52,9.56,NA,NA,NA,NA,29.25,48.96,200.468,NA,13.349,42.75,103.272,NA,NA,NA,28.5346,-0.018,-0.098,0.015,-0.034,-0.022,NA,NA,NA,NA,NA,62.909,345.806,17.075,NA,NA,NA,25.69,0.6645,NA,NA,NA,NA,NA,NA,0.22166666,0.29393333,13.406,NA,NA,-0.14548908,0.27546594,NA,NA,0.183,1.37436667,0.0032037,-0.32917211,-0.22166666,-0.29393333,-0.06116667,-0.80898334,NA,NA,NA,NA,NA,NA,NA,0.50016596,NA,-0.0147996,0.17381236,NA,NA,621.40652986,0.15266667,0.11233333,1.49616667,-0.03033333,0.1218,0.04033334,-1.3435,1.38383334,-0.183,-1.37436667,122.04,5.0876,2.3361,NA,NA,7.5104,9.6551,0.8005,0.09793,0.0519,0.0057,1.7754,0.1005,4.6835,0.1887,0.19596,NA,6.2077,1094.47,3.4965,32.89,31.679,2.9022,1.16194865,-3.55666667,NA,-0.665,NA,-3.33023006,NA,NA,-1.15191013,NA,NA,3.59449955,8.22220202,3.55666667,-0.31,NA,NA,-0.14637756,0.58985896,2.7355,-2.08675079,-0.7217711,-0.27170571,NA,345.806
2015-01-05,5435.931,4252.29,4726.812,9764.73,1752.77,3370.59,524.55,23857.82,167.81,5242.769,1926.44,198.12,179.201,155.145,158.177,170.267,329.174,822.19,566.68,329.23,167.7,286.9,235.28,67.38,523.42,152.94,673.3,673.19,1762.42,953.72,339.03,192.59,322.77,269.21,431.91,176.17,65.71,184.35,212.57,108.97,NA,NA,NA,134.85,109.12,217.87,219.61,143.58,415.92,2256.81,577.47,894.97,1009.51,1704.71,1893.5,2476.7,90.15,238.04,102.58,198.65,232.48,222.26,195.89,465.666,122.93,98.11,NA,NA,NA,151.28,2058.2,6547.8,0.578,0.22,28.8,0.018,4.88,4.63,0.2556,2.1105,0.0152,0.1225,11.5,17.79,-0.323,0.039,0.578,18,0.5,13.4,174.8,0.762,0.81,1.2325,0.883,2.543,-0.1689,0.1174,1.2418,1.7087,0.3909,2.315,0.287,-0.4018,3.69,3.38,3.46,3.6,3.41,NA,-0.079,0.076,0.169,0.323,26.6187,28.432,-0.027,0.12,0.498,-0.062,0.779,-0.019,0.329,NA,0.03,0.249,NA,19.65,17.075,0.1675,0.2142,0.3648,0.6328,0.2183,0.0101,1.607,0.1014,0.56,9.5,22.42,17.53,19.46,51490556,30.5,49.42,200.955,88.445,16.458,42.75,103.456,0.05786,0.14286,0.29143,28.432,-0.037,-0.111,-0.005,-0.054,-0.022,NA,NA,NA,NA,NA,61.5,337.836,17.075,27.75,NA,NA,24.59,0.6647,26.2531,18.606,24.93,NA,0.18933333,0.41773333,0.24033333,0.3061,16.826,-0.73250372,-5.445,-0.16559834,0.25596386,NA,NA,0.17833333,1.3491,-0.03059653,-0.34294731,-0.24033333,-0.3061,-0.03816667,-0.78618333,0.59960593,-0.11042844,0.20945568,0.24379436,NA,-0.37172844,0.35048146,0.50143203,0.14533314,-0.04435764,0.17257331,NA,0.68025676,619.78252361,0.12733333,0.11233333,1.46073333,-0.051,0.11163333,0.015,-1.3334,1.3484,-0.17833333,-1.3491,122.51,5.0484,2.3368,89.002,NA,7.4793,9.5845,0.8003,0.09807,0.05155,0.0056,1.7654,0.1055,4.6729,0.1883,0.19534,0.1348,6.207,1105.03,3.516,32.959,31.775,2.9014,1.16347504,-3.55666667,-88.445,-0.665,-17.53,-3.32472037,-0.09226602,2.18431706,-1.15860862,-0.04971646,84.94788684,3.58848412,8.20855735,3.55666667,-0.31,7.5830916,17.91057231,-0.34358744,0.6000942,2.7353,-2.0514439,-0.70106951,-0.2777945,0.41773333,331.45
2015-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9275,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73419185,NA,NA,NA,NA,NA,NA,NA,NA,-0.34395445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16016321,NA,NA,-0.69,NA,NA,NA,NA,-1.16847888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61523737,NA,NA,NA,NA,NA,NA
2015-01-07,5450.327,4111.36,4652.574,9473.16,1736.62,3328.28,538.73,23721.32,172.2,5219.995,1915.75,194.247,175.019,154.452,155.026,166.027,320.696,806.18,561.63,326.11,166.01,283.74,232.54,67.28,522.63,151.49,692.79,664.38,1726.41,940.69,334.17,190.09,317.19,265.35,419.36,170.78,63.96,180.7,206.36,105.72,80.36,172.28,157.17,134.26,106.92,212.82,213.82,141.66,408.01,2171.7,560.63,854.01,990.96,1671.25,1859.08,2424.4,87.65,227.15,100.39,194.55,226.33,216.9,195.67,454.84,120.54,95.86,17408.71,3350.519,3641.54,155.34,2020.58,6417.16,0.411,0.22,29.4,0.013,5.01,4.56,0.2536,2.032,0.0101,0.1235,10.81,19.92,-0.324,-0.175,0.411,22.2,-0.7,14.2,174.297,1.121,0.7735,1.1925,0.806,2.535,-0.3166,2e-04,1.159,1.6412,0.3825,2.2395,0.247,-0.3908,3.68,3.35,3.41,3.59,3.37,5.6,-0.074,0.075,0.169,0.321,25.6677,27.4625,-0.03,0.12,0.517,-0.054,0.804,-0.02,0.325,0.017,0.03,0.232,0.0935,18.5,16.75,0.168,0.2156,0.3623,0.6338,0.2132,0.0101,1.5645,0.0811,0.53,9.43,24.11,18.22,20.79,51497024,30.5,48.22,206.009,89.834,17.051,42.75,106.645,0.05429,0.14,0.28714,27.4625,-0.045,-0.1,0.009,-0.054,-0.015,0.02,-0.01,NA,96.168,68.927,61.624,339.188,16.75,30.5,4.33,4.9,24.01,0.6568,29.6236,21.984,26.64,25.15,0.18833333,0.41656667,0.23933333,0.3151,17.809,-0.73864774,-6.834,-0.18153636,0.23863894,-0.69598305,NA,0.193,1.3163,-0.12964746,-0.42177803,-0.23933333,-0.3151,-0.0455,-0.75961667,0.53242807,-0.44187436,-0.16661623,0.0424666,0.04909762,-0.56151821,0.11387737,0.43443811,0.10427763,-0.18806104,0.10937262,-0.1306629,0.60529076,618.65759664,0.142,0.11333333,1.41776667,-0.051,0.10146667,0.02866667,-1.27576667,1.30443334,-0.193,-1.3163,122.78,5.0167,2.3064,90.499,20,7.4163,9.497,0.802,0.0982,0.0517,0.0056,1.7556,0.1062,4.6584,0.1886,0.19439,0.13475,6.2204,1110.5,3.5422,32.98,32.007,2.9087,1.15993669,-3.54,-89.834,-0.68,-18.22,-3.31766094,-0.10871483,2.20215517,-1.17407582,-0.05238491,85.83051383,3.58077515,8.19127536,3.54,-0.33,7.61248958,17.95977131,-0.09636387,0.62382244,2.7232,-1.7686817,-0.90463512,-0.28609518,0.41656667,351.732
2015-01-08,5364.8,4083.5,4592.736,9469.66,1716.58,3281.95,567.92,23485.41,183.78,5169.06,1882.45,191.262,174.29,152.009,153.638,164.288,314.412,799.41,553.29,320.76,163.32,277.88,231.08,66.77,513.42,148.38,690.59,664.72,1705.93,934.73,331.69,188.12,317.85,264.71,416.03,171.28,63.19,179.81,206.87,105.01,77.99,166.9,151.87,132.03,105.33,210.38,212.18,141.77,404.05,2158.82,558.02,844.01,986.42,1654.38,1838.32,2402.6,86.01,224.32,98.94,192.21,226.98,215.89,195.73,448.28,120.09,94.43,16883.19,3351.446,3641.06,164.48,2002.61,6366.51,0.3,0.23,29.9,0.028,5.16,4.49,0.2511,1.9402,0.0253,0.1205,11.5,21.12,-0.295,-0.221,0.3,22,-1.2,11.4,174.321,1.275,0.743,1.085,0.729,2.496,-0.5149,-0.1689,1.0674,1.554,0.3733,2.1165,0.242,-0.3862,3.68,3.32,3.31,3.6,3.31,5.6,-0.075,0.073,0.168,0.319,26.0998,26.8384,-0.035,0.12,0.446,-0.057,0.731,-0.017,0.293,-0.009,0.015,0.234,0.0935,18.55,16.825,0.16775,0.2162,0.3603,0.6283,0.2031,0.0101,1.478,0.0913,0.53,9.58,24.98,18.74,21.42,51357924,31.5,45.88,224.116,97.001,18.204,43.5,116.883,0.05214,0.13857,0.28571,26.8384,-0.054,-0.106,-0.006,-0.058,-0.021,-0.014,-0.013,NA,101.748,74.708,65.39,357.881,16.825,29.5,3.93,5.2,23.75,0.625,28.8317,21.347,24.02,26.58,0.18666667,0.41323333,0.243,0.30666666,18.023,-0.78781592,-14.001,-0.24414528,0.16022935,-0.79077459,0.26415225,0.16766666,1.24116666,-0.16599774,-0.48828491,-0.243,-0.30666666,-0.0275,-0.72715,0.48180128,-0.36395041,-0.09596647,0.0139256,-0.10454649,-0.27072921,-0.01945795,0.37432263,0.00339694,-0.21964958,0.02629707,-0.24004903,0.54248223,616.89775443,0.11133333,0.09566667,1.34773333,-0.05633333,0.10656667,0.01566666,-1.2364,1.25206666,-0.16766666,-1.24116666,122.98,5.0466,2.2955,98.167,20,7.3927,9.4364,0.8014,0.09769,0.0522,0.0056,1.7471,0.0976,4.6534,0.1887,0.1941,0.1335,6.2137,1101.82,3.5565,32.925,32.013,2.9039,1.15632835,-3.53333333,-97.001,-0.715,-18.74,-3.31075285,-0.1413852,2.20957781,-1.18239775,-0.05925412,87.79201513,3.5732319,8.17470385,3.53333333,-0.36,7.62471538,18.08382767,-0.06272517,0.63660749,2.735,-1.66640291,-0.78772588,-0.29784605,0.41323333,365.31
2015-01-09,5353.611,4112.73,4650.467,9518.18,1709.18,3298.36,559.52,23681.26,181.15,5207.118,1883.83,191.933,174.852,152.002,154.409,163.974,313.706,808.19,555.58,320.84,163.5,277.69,232.22,67.27,514.03,148.56,687.95,667.48,1697.01,941.18,333.45,188.71,320.55,265.98,414,172.28,63.34,180.32,207.75,105.44,77.4,166.29,152.8,131.69,106.48,211.71,214.21,143.18,406.06,2161.13,558.4,844.68,991.1,1662.22,1848.73,2411.7,85.61,224.34,99.06,192.17,225.56,215.82,197.37,451.746,120.45,94.63,16885.33,3373.954,3643.79,162.18,2025.9,6419.83,0.399,0.23,30.3,0.025,5.11,4.49,0.2521,1.9677,0.0203,0.1195,10.5,19.31,-0.311,-0.191,0.399,22.5,-1.9,14,174.197,1.177,0.734,1.045,0.745,2.466,-0.4719,-0.1089,1.1263,1.5832,0.3759,2.087,0.25,-0.3845,3.69,3.3,3.34,3.57,3.32,5.6,-0.069,0.07,0.168,0.319,27.1588,27.3608,-0.038,0.12,0.484,-0.084,0.786,-0.014,0.301,NA,0.022,0.216,0.07042,18.725,17,0.1665,0.2148,0.3613,0.6273,0.2438,0.0101,1.4779,0.0862,0.46,9.64,23.21,19.08,20.08,51331272,32.5,45.9,222.818,96.833,18.042,43.5,117.163,0.04714,0.13357,0.28071,27.3608,-0.069,-0.108,-0.001,-0.088,-0.021,-0.043,-0.01,NA,101.938,72.733,65.876,363.982,17,30.75,3.86,5,23.65,0.6091,28.1715,20.044,22.99,25.95,0.18566667,0.41356667,0.266,0.2968,18,-0.806297,-13.833,-0.25792536,0.15309766,-0.75588519,0.25531142,0.20533333,1.2348,-0.15502961,-0.47702801,-0.266,-0.2968,-0.02233334,-0.73416667,0.44869915,-0.29905468,0.04883537,0.08062936,-0.03685713,-0.1564114,0.18146388,0.40703862,-0.03451945,-0.20771643,0.03825976,-0.21956245,0.59115877,615.70248542,0.125,0.10066667,1.35156667,-0.08033333,0.11676667,0.02433333,-1.22656667,1.2509,-0.20533333,-1.2348,123.22,5.0103,2.3016,96.001,20,7.3637,9.4061,0.8013,0.09823,0.0522,0.0056,1.7348,0.0953,4.6479,0.1888,0.19423,0.1342,6.2138,1102.47,3.5815,32.904,31.988,2.8986,1.15494017,-3.52,-96.833,-0.685,-19.08,-3.30300089,-0.16234019,2.21117253,-1.18629712,-0.06815756,89.09724373,3.56476803,8.15641415,3.52,-0.39,7.62735175,18.24221907,0,0.64258972,2.7309,-1.68037975,-0.77932616,-0.31249852,0.41356667,352.633
2015-01-12,5381.45,4260.19,4736.188,9837.61,1728.06,3345.11,550.05,23835.53,177.48,5211.828,1904.65,196.039,178.617,153.82,157.809,168.406,321.544,822.51,563.22,323.63,164.74,283.79,235.71,67.8,512.32,149.93,691.15,684.48,1733.84,958.83,338.19,190.89,327.63,269.23,425.47,178.65,64.75,184.77,214.34,107.77,77.83,168.66,153.99,133.33,108,215.88,219.33,144.25,413.84,2211.42,570.41,866.13,1008.15,1694.17,1885.57,2456.3,87.04,229.4,100.54,195.92,229.55,220.67,198.72,461.729,121.93,96.03,17167.1,3293.456,3559.26,158.93,2062.14,6569.96,0.527,0.22,30.2,0.018,4.98,4.57,0.2521,2.0179,0.0152,0.1235,11.75,17.01,-0.307,-0.032,0.527,23,-2.7,11.7,174.487,0.828,0.757,1.055,0.802,2.493,-0.3828,-0.0425,1.1834,1.6205,0.3844,2.115,0.268,-0.3974,3.69,3.29,3.33,3.58,3.3,5.6,-0.07,0.07,0.167,0.319,26.5925,27.7359,-0.0363,0.12,0.51,-0.099,0.798,-0.014,0.294,NA,0.022,0.217,0.075,18.075,16.925,0.16625,0.2142,0.3604,0.6289,0.2285,0.0051,1.4909,0.071,0.5,9.52,20.94,18.17,18.66,51327896,32.375,47.17,214.145,95.166,18.083,43,111.73,0.04786,0.13214,0.28071,27.7359,-0.079,-0.104,0.008,-0.098,-0.022,-0.027,-0.01,NA,99.998,68.836,62.605,344.643,16.925,32,3.74,4.8,23.78,0.6051,25.9087,17.074,22.17,24.99,0.18533333,0.4138,0.27733333,0.3089,18.05,-0.77982768,-12.166,-0.20124741,0.19162605,-0.67703468,0.26415225,0.23,1.2664,-0.066663,-0.39266479,-0.27733333,-0.3089,-0.023,-0.7381,0.53729603,-0.07661185,0.37905059,0.25727894,0.06628857,-0.0654011,0.43672924,0.47796882,0.01028215,-0.09347299,0.13418507,-0.12874615,0.69172231,617.05420555,0.138,0.098,1.3713,-0.092,0.1049,0.04,-1.2333,1.2733,-0.23,-1.2664,123.23,5.0286,2.3166,95.666,20,7.3151,9.3601,0.8015,0.09907,0.051871,0.0057,1.7429,0.1008,4.6461,0.1889,0.19425,0.1341,6.216,1096.38,3.5685,32.9,31.998,2.906,1.15556615,-3.52,-95.166,-0.635,-18.17,-3.29647684,-0.17877035,2.20453327,-1.18439565,-0.06749586,90.14167597,3.55764991,8.14114853,3.52,-0.4,7.61606122,18.23073624,-0.04984644,0.63967076,2.7349,-1.76214935,-0.80445005,-0.32641126,0.4138,336.196
2015-01-13,5465.571,4179.07,4704.066,9648.5,1732.44,3338.44,573.74,23919.95,186.3,5216.665,1924.7,194.986,177.155,151.984,157.852,168.596,319.744,815.83,566.52,325.2,166.05,286.77,235.98,68.19,515.79,149.29,689.61,684.26,1729.52,961.37,338.01,192.13,329.55,268.01,421.18,176.66,63.24,183.21,212.11,105.84,78.05,168.56,154.18,134.65,106.62,213.61,218.25,143.26,411.69,2206.2,572.24,861.31,1006.36,1683.8,1875.99,2438.7,85.7,227.48,99.54,194.74,231.71,220.75,199.42,459.758,121.03,94.83,17197.73,3285.412,3546.72,166.24,2044.81,6501.14,0.481,0.23,30,0.018,5.01,4.53,0.2541,1.9449,0.0152,0.1225,11.94,17.55,-0.278,-0.107,0.481,21.9,-3.8,11.4,175.315,0.959,0.7818,1.0725,0.795,2.501,-0.3694,-0.0076,1.1784,1.6125,0.3212,2.1193,0.259,-0.3324,3.69,3.29,3.32,3.57,3.29,5.6,-0.047,0.07,0.168,0.318,27.4496,28.2696,-0.034,0.12,0.492,-0.1,0.78,-0.022,0.279,NA,0.012,0.181,0.07352,20.6,18.35,0.16675,0.21475,0.3619,0.6264,0.1929,0.0152,1.419,0.071,0.48,9.31,21.29,18.18,19.32,51436776,33,47.8,209.228,97.677,17.82,42.5,107.021,0.04786,0.13143,0.28286,28.2696,-0.083,-0.119,-0.003,-0.105,-0.031,-0.057,-0.026,NA,99.436,68.518,61.61,338.112,18.35,31.75,3.7553,4.9,22.46,0.561,28.7787,18.522,21.58,23.89,0.18533333,0.41413333,0.28133333,0.3211,18.075,-0.78749057,-14.677,-0.18301632,0.17545772,-0.65605014,0.255121,0.21933333,1.21526667,-0.126373,-0.43088512,-0.28133333,-0.3211,-0.01366667,-0.70066667,0.53632244,-0.35881422,0.2175696,0.1445236,0.18447635,8.192e-05,0.37654472,0.46189938,-0.00301992,-0.16755179,0.1345232,-0.04243355,0.69336503,617.82434255,0.12333333,0.08666667,1.3083,-0.096,0.09303333,0.03666666,-1.18496667,1.22163333,-0.21933333,-1.21526667,123.09,5.0546,2.3302,98.25,20,7.3345,9.4082,0.80073,0.09958,0.052091,0.0057,1.7428,0.1008,4.643,0.1887,0.19441,0.1349,6.2086,1091.37,3.5625,32.895,31.938,2.9053,1.15660265,-3.51666667,-97.677,-0.59,-18.18,-3.29050145,-0.19840042,2.19977264,-1.17817639,-0.06700913,91.43089949,3.55113358,8.12710393,3.51666667,-0.4,7.60778545,18.22266918,-0.03381261,0.63006093,2.769,-1.67709241,-0.67654296,-0.33811187,0.41413333,346.604
